GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pruebatecnica,com.pruebatecnica.pruebatecnica.controllers,BookController,11,0,0,0,4,0,2,0,2,0
pruebatecnica,com.pruebatecnica.pruebatecnica.controllers,AuthorController,11,0,0,0,4,0,2,0,2,0
pruebatecnica,com.pruebatecnica.pruebatecnica.controllers.dto,AuthorDTO,224,0,38,0,8,0,34,0,15,0
pruebatecnica,com.pruebatecnica.pruebatecnica.controllers.dto,AuthorDTO.AuthorDTOBuilder,45,0,0,0,1,0,7,0,7,0
pruebatecnica,com.pruebatecnica.pruebatecnica.controllers.dto,BookDTO,171,0,30,0,7,0,28,0,13,0
pruebatecnica,com.pruebatecnica.pruebatecnica.controllers.dto,BookDTO.BookDTOBuilder,36,0,0,0,1,0,6,0,6,0
pruebatecnica,com.pruebatecnica.pruebatecnica.persistence.impl,BookDAOImpl,9,0,0,0,3,0,2,0,2,0
pruebatecnica,com.pruebatecnica.pruebatecnica.persistence.impl,AuthorDAOImpl,9,0,0,0,3,0,2,0,2,0
pruebatecnica,com.pruebatecnica.pruebatecnica.entities,Book.BookBuilder,45,0,0,0,1,0,7,0,7,0
pruebatecnica,com.pruebatecnica.pruebatecnica.entities,Author.AuthorBuilder,54,0,0,0,1,0,8,0,8,0
pruebatecnica,com.pruebatecnica.pruebatecnica.entities,Author,70,0,0,0,10,0,13,0,13,0
pruebatecnica,com.pruebatecnica.pruebatecnica.entities,Book,50,0,0,0,8,0,11,0,11,0
pruebatecnica,com.pruebatecnica.pruebatecnica,PruebatecnicaApplication,8,0,0,0,3,0,2,0,2,0
pruebatecnica,com.pruebatecnica.pruebatecnica.service.impl,BookServiceImpl,30,0,6,0,9,0,5,0,2,0
pruebatecnica,com.pruebatecnica.pruebatecnica.service.impl,AuthorServiceImpl,28,0,6,0,9,0,5,0,2,0
pruebatecnica,com.pruebatecnica.pruebatecnica.orchestrator,BookStoreOrchestrator,59,0,0,0,16,0,3,0,3,0
